index_label,频道id,频道名称,视频id,videoURL,shareURL,时长,发布时间,播放量,点赞数,标题,主题,星座,职业,年龄,关注人数,性别,是否为大V,地址,昵称,视频数量,用户ID
10,67,我的日常不无聊,-2514345179218982765,http://video.cdnvue.com/uploads/741494175176716122/video/b1lMgSA,https://v.vuevideo.net/share/post/-2514345179218982765,15800,2020-02-26 17:58:33.941,0,0,记录美好生活vlog的一天,,,学生 ,90后,0,MALE,False,河源市,记录美好生活vlog,2,1904848509
11,67,我的日常不无聊,-5071077080756180984,http://video.cdnvue.com/uploads/-6813637927859870548/video/b1k9cF5,https://v.vuevideo.net/share/post/-5071077080756180984,37600,2020-02-26 17:06:42.840,1,0,啵啵的一天,,AQUARIUS,运动员,90后,0,MALE,False,阿曼 佐法尔省,啵啵,12,hnytfd123
12,67,我的日常不无聊,8975410283107010454,http://video.cdnvue.com/uploads/2717247022132471733/video/b1ksUDw,https://v.vuevideo.net/share/post/8975410283107010454,15600,2020-02-26 15:58:34.626,49,1,插花,,无,无,90后,0,FEMALE,False,长沙市,Devil,3,58219358
13,67,我的日常不无聊,-3041829724419502163,http://video.cdnvue.com/uploads/7689619743004149860/video/b1krSOS,https://v.vuevideo.net/share/post/-3041829724419502163,13900,2020-02-26 15:55:05.463,42,1,Jessie's coffee time,,PISCES,自由人,80后,0,FEMALE,False,中国-广东-广州,Jessie Kwok,16,2231123454425
14,67,我的日常不无聊,6423732795360003076,http://video.cdnvue.com/uploads/2717247022132471733/video/b1kqVtH,https://v.vuevideo.net/share/post/6423732795360003076,14600,2020-02-26 15:50:43.835,0,0,我在 VUE 的第一条 Vlog,,无,无,90后,0,FEMALE,False,长沙市,Devil,3,58219358
15,67,我的日常不无聊,-4440138503570047265,http://video.cdnvue.com/uploads/-5961033494858244187/video/b1kUBqZ,https://v.vuevideo.net/share/post/-4440138503570047265,23300,2020-02-26 14:22:10.783,52,1,新毅的日记,,无,无,90后,0,FEMALE,False,中国-北京-东城,...,2,574409433
16,67,我的日常不无聊,1555931109402910637,http://video.cdnvue.com/uploads/8647280300509026064/video/b1kJh7D,https://v.vuevideo.net/share/post/1555931109402910637,23716,2020-02-26 13:40:27.678,1,1,薄荷，微凉 的一天,大家再忙也要记得好好吃饭吖～,无,无,90后,0,FEMALE,False,中国-广东-深圳,薄荷，微凉,9,45527339
17,67,我的日常不无聊,-4490446316048886427,http://video.cdnvue.com/uploads/-5604251374855266736/video/b1kAfD1,https://v.vuevideo.net/share/post/-4490446316048886427,16000,2020-02-26 13:04:44.058,15,0,幼幼，疫情宅家的一天,,无,无,90后,0,MALE,False,中国-安徽-滁州,water671,37,30268595
18,67,我的日常不无聊,-1758379408097530392,http://video.cdnvue.com/uploads/-1146980852576492034/video/b1j690X,https://v.vuevideo.net/share/post/-1758379408097530392,44153,2020-02-26 12:50:59.198,37,1,疫情期间在家的一天,,无,无,00后,0,FEMALE,False,中国-重庆-渝北,琹卿,2,68108975
19,67,我的日常不无聊,4725814920467548690,http://video.cdnvue.com/uploads/5098897863902047500/video/b1jr5Vz,https://v.vuevideo.net/share/post/4725814920467548690,17600,2020-02-26 11:50:43.577,0,0,爪爪的手工,,SAGITTARIUS,传媒业,80后,0,MALE,False,上海-浦东新,封三,12,673692142364
20,67,我的日常不无聊,6370723172647713636,http://video.cdnvue.com/uploads/4870740256147567895/video/b1jkGEN,https://v.vuevideo.net/share/post/6370723172647713636,21300,2020-02-26 11:19:46.137,3,0,小陈的vlog,和妈妈的早晨,ARIES,学生,00后,6,FEMALE,False,郴州市,1376chen,3,673136713582
